filepaths,labels,data set,feature_vector,x,y
train/Afghan/068.jpg,Afghan,train,"[-0.1559278  -0.15273058 -0.10065827 ...  0.2562497  -0.00620915
 -0.105178  ]",22.692318,-6.3475866
train/Afghan/013.jpg,Afghan,train,"[-0.1719478  -0.15448381 -0.07904261 ... -0.05201231  0.03164542
 -0.10791258]",22.983654,-5.831625
train/Afghan/025.jpg,Afghan,train,"[-0.11601052 -0.15238646 -0.13267685 ... -0.00197208 -0.11210524
 -0.10895751]",23.094519,-7.2917914
train/African Wild Dog/056.jpg,African Wild Dog,train,"[-0.05524633 -0.07223023 -0.10142151 ...  0.19377634 -0.13556261
 -0.12747629]",-42.90905,-22.79365
train/African Wild Dog/041.jpg,African Wild Dog,train,"[-0.09683774 -0.06290425 -0.02982395 ...  0.15917835 -0.14859918
 -0.06870089]",-43.725666,-23.595106
train/African Wild Dog/020.jpg,African Wild Dog,train,"[-0.10069687 -0.11290604  0.05021663 ... -0.00036514 -0.132899
 -0.1120577 ]",-43.54127,-24.202316
train/African Wild Dog/032.jpg,African Wild Dog,train,"[-0.07816506 -0.05021472 -0.02687105 ...  0.07563506 -0.17242551
 -0.12085587]",-43.380093,-22.666704
test/African Wild Dog/06.jpg,African Wild Dog,test,"[-0.10599413 -0.12537554  0.05959652 ...  0.02539447 -0.16205491
 -0.10075148]",-43.637825,-22.755896
train/African Wild Dog/057.jpg,African Wild Dog,train,"[-0.0767119  -0.1159345  -0.12187809 ...  0.19162309 -0.1810177
 -0.09748561]",-42.73253,-23.222298
train/African Wild Dog/070.jpg,African Wild Dog,train,"[-0.10126723 -0.11603848 -0.0853536  ...  0.06480578 -0.11529654
 -0.05296903]",-42.59218,-23.151247
train/African Wild Dog/106.jpg,African Wild Dog,train,"[-0.1141048  -0.11015149 -0.00293229 ...  0.05279795 -0.04832737
 -0.03879154]",-43.32832,-23.280788
train/African Wild Dog/082.jpg,African Wild Dog,train,"[-0.11110557 -0.1273261  -0.19609423 ...  0.08040787 -0.14219332
 -0.10299332]",-42.424736,-22.973774
train/African Wild Dog/027.jpg,African Wild Dog,train,"[-0.08456516 -0.10260849  0.1556576  ... -0.0096919   0.00818011
  0.01986496]",-42.796345,-24.297037
train/African Wild Dog/096.jpg,African Wild Dog,train,"[-0.13007975 -0.08169226 -0.00444098 ... -0.01815457 -0.07050373
 -0.01803609]",-43.40955,-23.953783
train/African Wild Dog/028.jpg,African Wild Dog,train,"[-0.12178821 -0.08290935 -0.06967562 ...  0.05854329 -0.16289857
  0.0149757 ]",-43.28497,-24.392147
train/African Wild Dog/065.jpg,African Wild Dog,train,"[-0.11936086 -0.16717428 -0.01967189 ...  0.01574347 -0.13328968
  0.04148308]",-43.972443,-23.46328
train/African Wild Dog/005.jpg,African Wild Dog,train,"[-0.08780111 -0.13755824 -0.00853162 ...  0.01571534 -0.16442068
 -0.04351497]",-43.28714,-24.11577
train/African Wild Dog/098.jpg,African Wild Dog,train,"[-0.11055472 -0.12403397  0.09741111 ... -0.01374694 -0.08776101
 -0.10635614]",-43.323456,-24.244022
train/African Wild Dog/101.jpg,African Wild Dog,train,"[-0.13184808 -0.13224627  0.33557126 ... -0.13828358  0.20010783
  0.2893847 ]",-42.448948,-25.06191
train/African Wild Dog/037.jpg,African Wild Dog,train,"[-0.0811967  -0.15646236  0.0808423  ...  0.00931981 -0.08336905
  0.17257659]",-42.026535,-24.48838
train/African Wild Dog/081.jpg,African Wild Dog,train,"[-0.14919782 -0.13611066  0.2462291  ...  0.14946066 -0.15920044
  0.07771884]",-44.25907,-23.935879
train/African Wild Dog/094.jpg,African Wild Dog,train,"[-0.12479474 -0.12875445 -0.07751818 ... -0.03726348 -0.20377135
 -0.10542864]",-43.381264,-23.87083
train/African Wild Dog/085.jpg,African Wild Dog,train,"[-0.12551105 -0.08189091  0.0152765  ...  0.03018802 -0.16562255
 -0.105116  ]",-43.577595,-22.671883
train/African Wild Dog/019.jpg,African Wild Dog,train,"[-0.14833212 -0.13954143  0.01027265 ...  0.04834661 -0.11502776
  0.03250239]",-43.933952,-23.492851
train/African Wild Dog/011.jpg,African Wild Dog,train,"[-0.11314096 -0.10161828 -0.01525625 ...  0.05165715 -0.19249217
 -0.10596487]",-43.486744,-23.073124
valid/African Wild Dog/01.jpg,African Wild Dog,valid,"[-0.08906544 -0.11336212 -0.06848209 ...  0.00183862 -0.12961698
 -0.03447602]",-43.461163,-23.902195
train/African Wild Dog/012.jpg,African Wild Dog,train,"[-0.0624947  -0.09970942 -0.06608275 ...  0.13530467 -0.14449802
 -0.07524306]",-43.145107,-22.83889
valid/African Wild Dog/06.jpg,African Wild Dog,valid,"[-0.10509008 -0.06887724 -0.0981247  ...  0.01828019 -0.17823073
 -0.12179552]",-43.597397,-23.266386
train/African Wild Dog/046.jpg,African Wild Dog,train,"[-0.08377048 -0.05121748 -0.14851245 ...  0.15024363 -0.18830235
 -0.01671755]",-43.124737,-22.840187
train/African Wild Dog/071.jpg,African Wild Dog,train,"[-0.08505266 -0.06853759 -0.11789712 ...  0.0947524  -0.11114874
 -0.09168524]",-43.44224,-22.422453
train/African Wild Dog/079.jpg,African Wild Dog,train,"[-0.12439043 -0.11622339  0.03070548 ... -0.01109456 -0.03274449
 -0.08872614]",-43.10046,-23.960093
train/Airedale/106.jpg,Airedale,train,"[-0.0845702  -0.06638531 -0.21089496 ... -0.11884195 -0.14135157
 -0.09186973]",7.686036,8.919369
train/Airedale/105.jpg,Airedale,train,"[-0.06826863 -0.16256802 -0.1514212  ... -0.06016661 -0.16280667
 -0.09212399]",6.1072206,9.025433
train/Airedale/013.jpg,Airedale,train,"[-0.0872749   0.13383925 -0.17729208 ... -0.14491093 -0.12820555
 -0.07096339]",6.9911227,8.599884
train/Airedale/027.jpg,Airedale,train,"[-0.05388563 -0.0231209  -0.19042057 ... -0.11005367 -0.16632462
 -0.07934401]",7.6664286,9.635194
test/Airedale/07.jpg,Airedale,test,"[-0.06422273 -0.06124483 -0.17850806 ... -0.14072205 -0.16902116
 -0.07267569]",7.2139544,8.775352
train/Airedale/067.jpg,Airedale,train,"[-0.07841734 -0.04350813 -0.1955865  ... -0.02595267 -0.14702983
 -0.11063081]",5.8648295,9.685594
train/Airedale/065.jpg,Airedale,train,"[-0.08229531 -0.06720816 -0.12932575 ... -0.09564404 -0.15186314
 -0.05261221]",8.34086,8.9225445
train/Airedale/116.jpg,Airedale,train,"[-0.10623861 -0.1055189  -0.12095539 ... -0.10197884 -0.04655244
 -0.10283656]",7.7202535,8.826716
valid/Airedale/07.jpg,Airedale,valid,"[ 0.00055122 -0.07287145 -0.11791626 ... -0.1284315  -0.13844506
 -0.06854965]",6.836654,9.99517
train/Airedale/086.jpg,Airedale,train,"[-0.08913215  0.09659956 -0.16804522 ... -0.0938708  -0.10331918
 -0.08052719]",7.339826,8.418439
train/Airedale/085.jpg,Airedale,train,"[-0.10426766 -0.04487155 -0.14336057 ... -0.14852427 -0.15973674
 -0.10681538]",7.507569,8.414402
train/Airedale/046.jpg,Airedale,train,"[-0.06973666 -0.1440943  -0.17243114 ... -0.0960044  -0.11293358
 -0.11569681]",7.6754575,9.506808
train/Airedale/070.jpg,Airedale,train,"[-0.08617786 -0.05263307 -0.18314268 ... -0.13687915 -0.14930156
 -0.08883259]",6.243953,8.405852
train/Airedale/068.jpg,Airedale,train,"[-0.07422267 -0.10869948 -0.2073451  ... -0.13512832 -0.11648223
 -0.11166199]",7.6063023,7.852363
train/Airedale/032.jpg,Airedale,train,"[-0.05684254  0.15098318 -0.1867757  ... -0.05905842 -0.14715078
 -0.06486614]",6.932636,8.909012
train/Airedale/043.jpg,Airedale,train,"[-0.07012555 -0.03919536 -0.19922319 ... -0.03005182 -0.13305199
 -0.07613685]",7.084162,8.629188
train/Airedale/028.jpg,Airedale,train,"[-0.04375424 -0.12633388 -0.16378644 ... -0.11375017 -0.11537579
 -0.03160783]",7.321963,9.323709
train/Airedale/020.jpg,Airedale,train,"[-0.05237739  0.07580005 -0.18701307 ... -0.11217638 -0.12710959
 -0.05301654]",6.408971,8.519413
valid/Airedale/06.jpg,Airedale,valid,"[-0.00814369 -0.01199095 -0.15735555 ... -0.15506072 -0.16059747
 -0.06441583]",6.939923,9.388837
train/Airedale/057.jpg,Airedale,train,"[-0.11204655  0.03981851 -0.19327308 ...  0.07274555 -0.06441505
 -0.0950162 ]",7.4013405,8.232293
test/Airedale/09.jpg,Airedale,test,"[-0.04480038 -0.09187167 -0.07980912 ... -0.11087956 -0.04308778
 -0.0351553 ]",8.286089,8.96239
train/Airedale/005.jpg,Airedale,train,"[-0.03917437  0.05154427 -0.1682026  ... -0.1221601  -0.12919323
 -0.04598447]",7.254071,9.55707
train/Airedale/110.jpg,Airedale,train,"[-0.0766496  -0.03528867 -0.19547513 ... -0.15540807 -0.03893394
 -0.11683764]",7.626313,8.676749
train/Airedale/037.jpg,Airedale,train,"[-0.0129084  -0.00387753 -0.16060813 ... -0.1063404  -0.14569527
 -0.05772922]",6.5275803,9.329665
train/Airedale/090.jpg,Airedale,train,"[-0.06165613 -0.0221912  -0.16240232 ... -0.1561909  -0.1377396
 -0.0663086 ]",7.0905485,8.899793
train/Airedale/101.jpg,Airedale,train,"[-0.08365025  0.19067705 -0.04943338 ... -0.06029692 -0.162179
 -0.04699555]",5.965262,9.22773
train/Airedale/017.jpg,Airedale,train,"[-0.05716754 -0.07349522 -0.19696015 ...  0.04920679 -0.15964292
 -0.05154258]",6.7049317,8.800151
train/Airedale/019.jpg,Airedale,train,"[-4.4774722e-02 -1.0916392e-04 -1.9141518e-01 ... -8.1844673e-02
 -1.6679265e-01 -6.9368094e-02]",6.48705,8.633663
valid/American  Spaniel/09.jpg,American  Spaniel,valid,"[ 0.06434502 -0.15145552 -0.1285229  ... -0.00165304 -0.06925687
 -0.11309398]",42.30503,-6.4680686
valid/American  Spaniel/02.jpg,American  Spaniel,valid,"[-0.01949038  0.03249924 -0.17359559 ...  0.16010588  0.13381927
  0.04952435]",41.420616,-7.326628
valid/American  Spaniel/06.jpg,American  Spaniel,valid,"[-0.01127752 -0.09790399 -0.15136804 ... -0.125628   -0.01681772
 -0.04548563]",44.81727,-4.237307
valid/American  Spaniel/01.jpg,American  Spaniel,valid,"[-0.01448566 -0.10950419 -0.18595223 ... -0.0968513   0.37200585
 -0.05952491]",41.689167,-5.846447
valid/American  Spaniel/08.jpg,American  Spaniel,valid,"[ 0.0593688  -0.09083604 -0.1459575  ... -0.11663797 -0.05249451
 -0.11079334]",41.787437,-7.576454
valid/American  Spaniel/03.jpg,American  Spaniel,valid,"[ 0.00618919 -0.07600363 -0.15907331 ...  0.00578816 -0.09216862
 -0.01251736]",41.451324,-7.229863
valid/American  Spaniel/10.jpg,American  Spaniel,valid,"[ 0.0088095   0.01053569 -0.06987973 ... -0.13282655  0.12639533
 -0.00995309]",43.4071,-5.1963577
valid/American  Spaniel/05.jpg,American  Spaniel,valid,"[-0.01182173 -0.12789652 -0.16245514 ... -0.12353544  0.0061316
 -0.13390344]",43.107944,-4.317485
valid/American  Spaniel/04.jpg,American  Spaniel,valid,"[-0.07588547 -0.02875443 -0.12879401 ... -0.08875442 -0.04416928
  0.11539463]",40.878475,-8.080387
valid/American  Spaniel/07.jpg,American  Spaniel,valid,"[ 0.03168085  0.2691505  -0.19130485 ... -0.07555516  0.2701974
  0.10271984]",41.008217,-7.812809
valid/American Hairless/04.jpg,American Hairless,valid,"[-0.15777391 -0.18117537 -0.10135354 ...  0.3413376   0.1097776
  0.4922815 ]",-7.9658422,39.828743
train/American Hairless/01.jpg,American Hairless,train,"[-0.15360798 -0.0831475   0.05372402 ...  0.26331085 -0.1692564
  0.2236432 ]",-6.3938346,36.36216
test/American Hairless/04.jpg,American Hairless,test,"[-0.06763557 -0.11500371 -0.05671835 ...  0.23760505  0.02043553
  0.14989732]",-5.361089,39.202663
train/American Hairless/23.jpg,American Hairless,train,"[-0.14959396 -0.09500368  0.01536884 ...  0.23361118 -0.02109515
  0.48548275]",-6.8044043,38.24533
train/American Hairless/13.jpg,American Hairless,train,"[-0.15053071 -0.13828105  0.04676751 ...  0.09495813 -0.10997101
  0.14497805]",-5.0864716,39.732067
valid/American Hairless/08.jpg,American Hairless,valid,"[-0.10441254 -0.1251177   0.00808856 ...  0.30040148 -0.04411089
  0.22817586]",-7.195188,38.64024
train/American Hairless/11.jpg,American Hairless,train,"[-0.099552   -0.13713615 -0.15632163 ...  0.24055023 -0.04638711
  0.3477884 ]",-7.2846403,37.800625
train/American Hairless/19.jpg,American Hairless,train,"[-0.13323615 -0.11895628  0.2402283  ...  0.2739876   0.02871459
  0.37513977]",-7.318897,40.33925
train/American Hairless/05.jpg,American Hairless,train,"[-0.10170514 -0.15734552 -0.04311503 ...  0.01582994  0.2082808
  0.2564608 ]",-5.6515017,40.128445
test/American Hairless/02.jpg,American Hairless,test,"[-0.10405672 -0.10839337 -0.04213312 ...  0.02999464 -0.09383055
  0.10609564]",-6.227583,37.914444
train/American Hairless/41.jpg,American Hairless,train,"[-0.14863682 -0.06892222  0.15358542 ...  0.12133971 -0.09641381
  0.09073152]",-9.235826,39.374466
train/American Hairless/48.jpg,American Hairless,train,"[-0.13747825 -0.17801636 -0.00260817 ...  0.26100883 -0.02524582
  0.04879182]",-8.191881,37.266632
train/American Hairless/36.jpg,American Hairless,train,"[-0.08429305 -0.10328646 -0.15180822 ...  0.06642117  0.01399527
  0.6566275 ]",-4.955336,37.86883
test/American Hairless/08.jpg,American Hairless,test,"[-0.14021951 -0.14902222  0.00740841 ...  0.03539072 -0.00603012
  0.46912605]",-7.5955153,39.381306
train/American Hairless/56.jpg,American Hairless,train,"[-0.08194297  0.30192664  0.8789692  ...  0.31062558 -0.12806387
  0.24552582]",-8.858185,40.998634
train/American Hairless/55.jpg,American Hairless,train,"[-0.19073507 -0.16170506  0.24275598 ...  0.3815417  -0.09233321
  0.868773  ]",-7.5705557,40.399006
train/American Hairless/34.jpg,American Hairless,train,"[-0.17789283 -0.08382184  0.04129853 ...  0.24522302 -0.17724478
  0.16877234]",-6.409279,36.30133
valid/American Hairless/03.jpg,American Hairless,valid,"[-0.10994776 -0.1307956  -0.16441424 ...  0.08133632 -0.16061427
  0.47502443]",-7.789533,37.572247
train/American Hairless/43.jpg,American Hairless,train,"[-0.17017192 -0.1413157  -0.08746775 ...  0.08279226  0.02431116
  0.44403505]",-7.7589555,39.08675
train/American Hairless/50.jpg,American Hairless,train,"[-0.0879116  -0.14387386 -0.04137651 ...  0.1239996   0.07244214
  0.25266123]",-5.5747137,39.46021
train/American Hairless/12.jpg,American Hairless,train,"[-0.14225557 -0.11347072 -0.048155   ...  0.02311722  0.12531504
  0.26148257]",-6.528883,40.78229
train/American Hairless/31.jpg,American Hairless,train,"[-0.11667636 -0.12854236 -0.02700999 ...  0.21008423 -0.15827961
  0.4139759 ]",-5.9170046,30.930187
train/American Hairless/40.jpg,American Hairless,train,"[-0.17652938 -0.16195102  0.41767284 ...  0.05430466  0.04012828
  0.532367  ]",-7.397713,41.136066
train/American Hairless/29.jpg,American Hairless,train,"[-0.16066037 -0.15998021  0.15491542 ... -0.10390642  0.28615695
  0.28134882]",-6.9712768,40.893734
train/American Hairless/10.jpg,American Hairless,train,"[-0.17990834 -0.10411748  0.3501044  ...  0.2190142  -0.04202989
  0.10675003]",-9.300549,40.17258
train/American Hairless/65.jpg,American Hairless,train,"[-0.11541455 -0.12470313 -0.0643807  ...  0.22615686 -0.05416838
  0.48966834]",-6.7119856,38.59891
train/American Hairless/06.jpg,American Hairless,train,"[-0.12928982  0.18709037  0.07910989 ...  0.1746642  -0.15328702
  0.37417266]",-9.83149,39.32224
train/American Hairless/46.jpg,American Hairless,train,"[-0.14619365 -0.1106801   0.2487113  ...  0.3148072   0.11715384
  0.4589742 ]",-8.0344,40.17195
train/American Spaniel/63.jpg,American Spaniel,train,"[-0.18429922  0.01185899 -0.0908285  ... -0.02584187  0.02421727
  0.49536577]",40.193413,-11.785219
train/American Spaniel/41.jpg,American Spaniel,train,"[ 0.0162289  -0.05386809 -0.19989766 ...  0.0304558   0.06033441
 -0.1223198 ]",43.10802,-8.003863
test/American Spaniel/07.jpg,American Spaniel,test,"[-0.10071379 -0.15736683 -0.17414321 ... -0.14364482 -0.0408507
 -0.10146348]",43.740734,-2.9820495
train/American Spaniel/19.jpg,American Spaniel,train,"[-0.04499467 -0.15779257 -0.19480667 ... -0.1396379   0.0958126
 -0.12799305]",41.85426,-6.9174733
test/American Spaniel/09.jpg,American Spaniel,test,"[ 0.02896648  0.11934641 -0.03739068 ... -0.12519714  0.24027911
 -0.13797675]",42.296333,-7.708355
train/American Spaniel/85.jpg,American Spaniel,train,"[ 0.04710138 -0.08415627 -0.16864699 ... -0.08468116  0.08201
  0.00342172]",40.10333,-9.664229
train/American Spaniel/65.jpg,American Spaniel,train,"[-0.11929528  0.17721605 -0.08676041 ... -0.05000199 -0.0157305
  0.47077304]",17.938305,4.774867
train/American Spaniel/43.jpg,American Spaniel,train,"[ 0.08079139 -0.14325052 -0.09492418 ...  0.00272624 -0.04664022
 -0.11946715]",42.80073,-2.9194112
train/American Spaniel/11.jpg,American Spaniel,train,"[ 0.03793133  0.06976944 -0.1692391  ... -0.10358694  0.15223892
  0.00085983]",39.997993,-9.9372835
train/American Spaniel/01.jpg,American Spaniel,train,"[-0.00645481  0.02037377 -0.18183209 ... -0.16316819  0.06483029
 -0.06501054]",41.787277,-8.406436
train/American Spaniel/32.jpg,American Spaniel,train,"[-0.03245805  0.03882809 -0.19251704 ... -0.13057493  0.16666639
  0.04965262]",39.939,-9.491039
train/American Spaniel/77.jpg,American Spaniel,train,"[ 0.02835863 -0.04706584 -0.18649265 ... -0.09355471  0.1331327
 -0.12915051]",42.44268,-7.162056
train/American Spaniel/48.jpg,American Spaniel,train,"[-0.02188422  0.00316433 -0.2170587  ... -0.15114187  0.23701014
 -0.13122858]",42.607643,-7.343035
train/American Spaniel/27.jpg,American Spaniel,train,"[-0.02155947 -0.02499029 -0.15770313 ...  0.01265242 -0.01007772
 -0.09774982]",39.99958,-9.466947
train/American Spaniel/45.jpg,American Spaniel,train,"[ 0.06087524 -0.05234494 -0.19586697 ... -0.14897309 -0.01383665
 -0.08426902]",43.179268,-6.41771
train/American Spaniel/05.jpg,American Spaniel,train,"[ 0.08828235 -0.07316884 -0.19097443 ... -0.1495424  -0.08648601
 -0.1238964 ]",43.256664,-6.3841863
train/American Spaniel/23.jpg,American Spaniel,train,"[ 0.00346027 -0.05987838 -0.16005838 ... -0.11328058 -0.03252583
 -0.00051903]",41.276546,-6.929155
train/American Spaniel/13.jpg,American Spaniel,train,"[ 0.01858295  0.12360726 -0.15262175 ... -0.11681888  0.10507579
 -0.10134719]",41.62999,-6.444788
train/American Spaniel/89.jpg,American Spaniel,train,"[-0.01648827 -0.00446676 -0.14208516 ... -0.16859572  0.10601486
 -0.09582181]",39.973648,-9.957066
train/American Spaniel/74.jpg,American Spaniel,train,"[ 0.07995925 -0.08225013 -0.12708738 ... -0.12582786 -0.13786204
 -0.10091083]",43.076984,-6.8969026
train/American Spaniel/50.jpg,American Spaniel,train,"[-0.15331672 -0.17252842 -0.11026064 ... -0.0673665   0.11197707
 -0.11933294]",42.363743,5.4417443
train/American Spaniel/71.jpg,American Spaniel,train,"[ 0.00627784 -0.04729469 -0.13564715 ... -0.1244369  -0.05834954
 -0.06336807]",44.71759,-4.147681
train/American Spaniel/69.jpg,American Spaniel,train,"[-0.01659301 -0.14078628 -0.09566765 ...  0.4461801  -0.15952343
 -0.05948826]",40.514034,-6.145481
train/American Spaniel/16.jpg,American Spaniel,train,"[-0.01601239 -0.0626011  -0.1488343  ... -0.11691104 -0.01901568
  0.06090265]",41.679073,-7.1671977
train/American Spaniel/40.jpg,American Spaniel,train,"[ 0.08848313 -0.10951957 -0.17297772 ... -0.07996316  0.14991143
 -0.07471009]",42.937103,-7.29977
train/American Spaniel/34.jpg,American Spaniel,train,"[ 0.24310088 -0.09780803 -0.1482899  ... -0.09832296 -0.15883276
 -0.04275258]",43.869152,-7.3154674
train/American Spaniel/10.jpg,American Spaniel,train,"[-0.02335802 -0.01849124 -0.07052155 ... -0.0775606   0.04710713
 -0.02552733]",45.15072,-4.4946
train/American Spaniel/82.jpg,American Spaniel,train,"[ 0.04483676  0.15448786 -0.09499439 ... -0.15079124  0.01235971
 -0.10639086]",41.978416,-7.620952
train/Basenji/57.jpg,Basenji,train,"[-0.12810671 -0.1220477  -0.01916372 ...  0.02624209 -0.17574632
  0.01709733]",-20.588392,11.242562
train/Basenji/90.jpg,Basenji,train,"[-0.15000224 -0.11214431 -0.09110181 ...  0.00050245 -0.19334969
  0.04992847]",-19.490637,10.677023
train/Basenji/05.jpg,Basenji,train,"[-0.12767924 -0.11704968  0.12007832 ... -0.03040332 -0.2152334
  0.04218653]",-20.357866,10.677267
train/Basenji/46.jpg,Basenji,train,"[-0.08200385 -0.11088796 -0.04896307 ...  0.08682231 -0.2128698
  0.00077891]",-20.508287,11.49704
train/Basenji/27.jpg,Basenji,train,"[-0.15597735 -0.09622359 -0.09637868 ...  0.02675351 -0.12299271
  0.01457409]",-19.415161,11.740356
valid/Basenji/09.jpg,Basenji,valid,"[-0.04800434 -0.1001334  -0.08476391 ...  0.05347484 -0.07464886
 -0.00875915]",-19.81121,11.723539
train/Basenji/70.jpg,Basenji,train,"[-0.10791653 -0.13941666 -0.12451569 ... -0.02283522 -0.1802891
  0.00241568]",-20.202257,10.549874
train/Basenji/11.jpg,Basenji,train,"[-0.13711424 -0.107554   -0.12742032 ... -0.00031846 -0.20429333
  0.02908352]",-20.411186,10.55464
train/Basenji/91.jpg,Basenji,train,"[-0.12474262 -0.12031615 -0.15248458 ...  0.00959684  0.06584112
  0.29062453]",-19.665201,12.693503
train/Basenji/74.jpg,Basenji,train,"[-0.14907908 -0.05544633 -0.06877673 ...  0.14873467 -0.13898893
 -0.11991184]",-28.374453,13.53462
train/Basenji/19.jpg,Basenji,train,"[-0.11047307 -0.10463924 -0.08296372 ...  0.00830305 -0.1266137
 -0.00212673]",-19.98315,12.054342
valid/Basenji/04.jpg,Basenji,valid,"[-0.1729596  -0.11842306 -0.06860675 ... -0.01672597 -0.1914146
  0.02925825]",-19.738781,10.651914
train/Basenji/12.jpg,Basenji,train,"[-0.09913766 -0.11838838 -0.14872688 ... -0.02206426 -0.22719656
 -0.0052692 ]",-20.55893,11.369603
train/Basenji/97.jpg,Basenji,train,"[-0.16640407 -0.08629525 -0.08916024 ... -0.00477173 -0.17972393
  0.03304457]",-19.634617,10.667831
train/Basenji/43.jpg,Basenji,train,"[-0.11105968 -0.11734786 -0.11147521 ...  0.01733036 -0.20702034
  0.03191948]",-19.649996,11.335498
train/Basenji/32.jpg,Basenji,train,"[-0.18599229 -0.08947742 -0.17140612 ... -0.05223384 -0.12236408
  0.10269065]",-19.26059,11.985265
train/Basenji/89.jpg,Basenji,train,"[-0.1315117  -0.06471747 -0.12267344 ...  0.04351336 -0.21003696
  0.03275453]",-20.104643,11.361969
train/Basenji/01.jpg,Basenji,train,"[-0.08972612 -0.09059031 -0.10751316 ...  0.01910948 -0.14508785
  0.01548329]",-19.40327,11.864991
train/Basenji/98.jpg,Basenji,train,"[-0.16033038 -0.07059488 -0.16883545 ...  0.06295368 -0.13257496
  0.05070699]",-19.343264,11.910327
valid/Basenji/02.jpg,Basenji,valid,"[-0.16804095 -0.10567422 -0.146682   ... -0.04325859 -0.17765805
 -0.01958747]",-20.030708,11.393912
train/Basenji/65.jpg,Basenji,train,"[-0.16905141 -0.11672962 -0.11599101 ... -0.07287952 -0.19804105
  0.01507309]",-19.234827,10.777349
